Edad INE,Edad tecnologías,Edad movilidad
Total,Total,Total
0-4,Menos de 30 años,Menos de 30 años
5-9,Menos de 30 años,Menos de 30 años
10-14,Menos de 30 años,Menos de 30 años
15-19,Menos de 30 años,Menos de 30 años
20-24,Menos de 30 años,Menos de 30 años
25-29,Menos de 30 años,Menos de 30 años
30-34,De 30 a 39 años,De 30 a 49 años
35-39,De 30 a 39 años,De 30 a 49 años
40-44,De 40 a 49 años,De 30 a 49 años
45-49,De 40 a 49 años,De 30 a 49 años
50-54,De 50 a 59 años,De 50 y más años
55-59,De 50 a 59 años,De 50 y más años
60-64,De 60 a 69 años,De 50 y más años
65-69,De 60 a 69 años,De 50 y más años
70-74,De 70 y más años,De 50 y más años
75-79,De 70 y más años,De 50 y más años
80-84,De 70 y más años,De 50 y más años
85-89,De 70 y más años,De 50 y más años
90-94,De 70 y más años,De 50 y más años
95-99,De 70 y más años,De 50 y más años
100 y más,De 70 y más años,De 50 y más años
